Airline ID,Name,Country,Active
10122,Salzburg arrows,Austria,Y
10123,Texas Wings,United States,Y
10124,California Western,United States,N
10128,Dennis Sky,Israel,Y
10224,Zz,Belgium,Y
10226,Atifly,United States,Y
10318,Air UK,United Kingdom,N
10334,Suckling Airways,United Kingdom,N
10367,Reno Sky,United States,N
10371,Aerolineas heredas santa maria,Dominican Republic,Y
10372,Ciao Air,Italy,Y
10642,Jc royal.britannica,United Kingdom,Y
10646,Birmingham European,United Kingdom,N
10650,Pal airlines,Chile,Y
10673,CanXpress,Canada,Y
10674,Danube Wings (V5),Slovakia,Y
10675,Sharp Airlines,Australia,Y
10683,CanXplorer,Canada,Y
10715,Click (Mexicana),Mexico,Y
10735,World Experience Airline,Canada,Y
10737,ALAK,Russia,Y
10738,AJT Air International,Russia,N
10739,Air Choice One,United States,Y
10740,Tianjin Airlines,China,Y
10741,China United,China,Y
10748,Locair,United States,Y
10758,Safi Airlines,Afghanistan,Y
10765,SeaPort Airlines,United States,Y
10776,Salmon Air,United States,Y
10796,Fly Illi,United States,N
10798,Bobb Air Freight,Germany,Y
10800,Star1 Airlines,Lithuania,Y
10845,Pelita,Indonesia,Y
10902,Alpi Eagles (E8),Italy,N
10912,Alaska Seaplane Service,United States,Y
10929,TAN,Argentina,N
10945,Enerjet,Canada,Y
10955,MexicanaLink,Mexico,Y
10960,Island Spirit,Iceland,Y
10969,TACA Peru,Peru,Y
11700,Orbest,Portugal,Y
11719,Southern Air Charter,Bahamas,Y
11724,SVG Air,Saint Vincent and the Grenadines,Y
11726,Air Century,Dominican Republic,Y
11731,Pan Am World Airways Dominicana,Dominican Republic,Y
11732,Primera Air,Iceland,Y
11741,Air Antilles Express,Guadeloupe,Y
11751,Sol Lineas Aereas,Argentina,Y
11755,Regional Paraguaya,Paraguay,Y
11761,VIP Ecuador,Ecuador,Y
11762,Transportes Aereos Cielos Andinos,Peru,Y
11763,Peruvian Airlines,Peru,Y
11765,EasyFly,Colombia,Y
11767,Polar Airlines,Russia,Y
11794,Catovair,Mauritius,Y
11795,Andalus Lineas Aereas,Spain,Y
11798,Air 26,Angola,Y
11800,Mauritania Airways,Mauritania,Y
11802,CEIBA Intercontinental,Equatorial Guinea,Y
11804,Halcyonair,Cape Verde,Y
11805,Business Aviation,Congo (Kinshasa),Y
11806,Compagnie Africaine d\\'Aviation,Congo (Kinshasa),Y
11808,Zambia Skyways,Zambia,Y
11811,AlMasria Universal Airlines,Egypt,Y
11813,EgyptAir Express,Egypt,Y
11814,SmartLynx Airlines,Latvia,Y
11815,Air Italy Egypt,Egypt,Y
11816,KoralBlue Airlines,Egypt,Y
11820,Wind Rose Aviation,Ukraine,Y
