Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
415,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL,EETN,59.41329956049999,24.8327999115
416,Tartu Airport,Tartu,Estonia,TAY,EETU,58.3074989319,26.690399169900004
421,Helsinki Vantaa Airport,Helsinki,Finland,HEL,EFHK,60.317199707031,24.963300704956
428,Ivalo Airport,Ivalo,Finland,IVL,EFIV,68.607299804688,27.405300140381
429,Joensuu Airport,Joensuu,Finland,JOE,EFJO,62.662899017334,29.607500076294
430,Jyvaskyla Airport,Jyvaskyla,Finland,JYV,EFJY,62.399501800537,25.678300857544
432,Kemi-Tornio Airport,Kemi,Finland,KEM,EFKE,65.778701782227,24.582099914551
433,Kajaani Airport,Kajaani,Finland,KAJ,EFKI,64.285499572754,27.692399978638
435,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,KOK,EFKK,63.721199035645,23.143100738525
437,Kuusamo Airport,Kuusamo,Finland,KAO,EFKS,65.987602233887,29.239400863647
438,Kittilä Airport,Kittila,Finland,KTT,EFKT,67.700996398926,24.846799850464
439,Kuopio Airport,Kuopio,Finland,KUO,EFKU,63.007099151611,27.797800064087
441,Lappeenranta Airport,Lappeenranta,Finland,LPP,EFLP,61.044601,28.144743
442,Mariehamn Airport,Mariehamn,Finland,MHQ,EFMA,60.122200012207,19.898199081421
446,Oulu Airport,Oulu,Finland,OUL,EFOU,64.930099487305,25.354600906372
448,Pori Airport,Pori,Finland,POR,EFPO,61.461700439453,21.799999237061
453,Rovaniemi Airport,Rovaniemi,Finland,RVN,EFRO,66.564796447754,25.830400466919
455,Savonlinna Airport,Savonlinna,Finland,SVL,EFSA,61.943099975586,28.945100784302
458,Tampere-Pirkkala Airport,Tampere,Finland,TMP,EFTP,61.414100646973,23.604400634766
460,Turku Airport,Turku,Finland,TKU,EFTU,60.514099121094,22.262800216675
462,Vaasa Airport,Vaasa,Finland,VAA,EFVA,63.050701141357,21.762199401855
465,Belfast International Airport,Belfast,United Kingdom,BFS,EGAA,54.6575012207,-6.21582984924
467,George Best Belfast City Airport,Belfast,United Kingdom,BHD,EGAC,54.61809921264648,-5.872499942779541
468,City of Derry Airport,Londonderry,United Kingdom,LDY,EGAE,55.04280090332031,-7.161109924316406
469,Birmingham International Airport,Birmingham,United Kingdom,BHX,EGBB,52.4538993835,-1.74802994728
472,Gloucestershire Airport,Golouchestershire,United Kingdom,GLO,EGBJ,51.89419937133789,-2.167220115661621
478,Manchester Airport,Manchester,United Kingdom,MAN,EGCC,53.35369873046875,-2.2749500274658203
481,Newquay Cornwall Airport,Newquai,United Kingdom,NQY,EGHQ,50.44060134887695,-4.995409965515137
488,Cardiff International Airport,Cardiff,United Kingdom,CWL,EGFF,51.39670181274414,-3.343329906463623
490,Bristol Airport,Bristol,United Kingdom,BRS,EGGD,51.382702,-2.71909
491,Liverpool John Lennon Airport,Liverpool,United Kingdom,LPL,EGGP,53.33359909057617,-2.849720001220703
492,London Luton Airport,London,United Kingdom,LTN,EGGW,51.874698638916016,-0.3683330118656158
494,Bournemouth Airport,Bournemouth,United Kingdom,BOH,EGHH,50.77999877929688,-1.8424999713897705
495,Southampton Airport,Southampton,United Kingdom,SOU,EGHI,50.95029830932617,-1.3567999601364136
497,Alderney Airport,Alderney,Guernsey,ACI,EGJA,49.706104,-2.21472
